vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
2.945290,0.164064,-2.826306,-0.221726,0.447693,-0.003272,-0.000793,0.002004,3.847617,3.013399,2.975080
2.924244,0.170722,-2.839873,-0.220040,0.437693,-0.002680,-0.000648,-0.004758,3.894064,2.992853,3.024437
2.902957,0.175356,-2.844345,-0.213246,0.433934,-0.005191,-0.001104,-0.010103,3.934054,2.968215,3.072630
2.879520,0.177516,-2.838529,-0.190036,0.429014,-0.004217,-0.000887,-0.018354,3.976276,2.944074,3.125380
2.858898,0.178322,-2.809043,-0.163573,0.430141,-0.003425,-0.001399,-0.044554,4.017278,2.919602,3.182519
2.841959,0.176989,-2.758609,-0.142499,0.433342,-0.006997,-0.001502,-0.055157,4.043399,2.883828,3.244811
2.824248,0.173850,-2.671114,-0.113477,0.433987,-0.004616,-0.002849,-0.098156,4.077355,2.854917,3.309370
2.812362,0.167654,-2.537138,-0.090980,0.437391,-0.003412,-0.001483,-0.106930,4.108390,2.816344,3.375715
2.804970,0.160447,-2.331245,-0.077751,0.440574,-0.002253,-0.001941,-0.068323,4.136404,2.779965,3.446233
2.801320,0.147426,-2.055338,-0.073788,0.444342,-0.000966,-0.000560,-0.046960,4.166875,2.744044,3.520083
2.801149,0.128892,-1.800010,-0.083146,0.446904,0.000303,0.001314,0.052461,4.200776,2.706962,3.593428
2.803219,0.107338,-1.579053,-0.100367,0.447046,0.000436,0.001241,0.091302,4.230484,2.670939,3.663678
2.805304,0.083498,-1.502841,-0.118731,0.445535,0.000004,0.000453,0.043613,4.256437,2.633254,3.727920
2.806199,0.063582,-1.630808,-0.133729,0.443324,0.000010,0.000337,0.032240,4.282524,2.595621,3.783887
2.806111,0.054173,-1.842380,-0.145950,0.440582,0.000267,0.000317,0.026393,4.312122,2.557520,3.831564
2.805035,0.054017,-2.069915,-0.156092,0.437139,-0.000042,0.000190,0.020004,4.335408,2.518350,3.873695
2.802130,0.060037,-2.278353,-0.161051,0.433582,-0.000106,0.000055,0.009182,4.364482,2.480483,3.914599
2.797820,0.069904,-2.445613,-0.162590,0.429390,-0.000099,0.000073,0.005079,4.385917,2.439070,3.956047
2.792270,0.081550,-2.558785,-0.159146,0.423932,-0.000321,-0.000126,-0.003217,4.402957,2.396447,3.998562
2.785535,0.093016,-2.619102,-0.150745,0.417736,-0.000628,-0.000240,-0.012870,4.422946,2.354666,4.042517
2.778009,0.103197,-2.625885,-0.140649,0.411042,-0.001008,-0.000379,-0.018736,4.438131,2.314381,4.087154
2.769910,0.110807,-2.583189,-0.126316,0.403751,-0.001016,-0.000418,-0.025831,4.448392,2.271434,4.130910
2.762182,0.115436,-2.486251,-0.109687,0.395284,-0.000972,-0.000534,-0.035833,4.459089,2.227230,4.174562
2.755225,0.116359,-2.335829,-0.091275,0.385662,-0.000866,-0.000558,-0.044232,4.468426,2.182891,4.219052
2.749336,0.113428,-2.125612,-0.073286,0.375662,-0.000830,-0.000680,-0.051802,4.469486,2.136285,4.264397
2.744537,0.106182,-1.864986,-0.055558,0.365662,-0.000789,-0.000704,-0.056803,4.475342,2.093675,4.310529
2.740827,0.095317,-1.561918,-0.038418,0.355662,-0.000725,-0.000651,-0.055704,4.476447,2.048959,4.355393
2.738029,0.081992,-1.226952,-0.027592,0.345662,-0.000334,-0.000423,-0.037311,4.483985,2.005131,4.399593
2.735932,0.066486,-0.910233,-0.019886,0.335662,-0.000042,-0.000317,-0.026761,4.496798,1.958484,4.444236
2.734043,0.050853,-0.650662,-0.020051,0.325662,-0.000126,0.000008,0.000380,4.502300,1.914412,4.489606
2.731505,0.036104,-0.484522,-0.020787,0.315662,-0.000119,0.000012,0.002717,4.510060,1.871173,4.535134
2.728238,0.024436,-0.409665,-0.023466,0.305662,0.000113,0.000086,0.009958,4.514006,1.823655,4.578548
