Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,z,roll,pitch,yaw,vx_w,vy_w,vz_w,v_tot,ax_w,ay_w,az_w,vx_b,vy_b,vz_b,ax_b,ay_b,az_b,droll,dpitch,dyaw,steer
1709637586.0725152,69,1709637586,72515249,,-1.341838046974885,-0.48760123458903426,0.0,0.0,0.0,-1.6847455444513117,-0.06832513538655284,-0.6964926172854473,0.0,0.6998359022361766,0.0,0.0,0.0,0.6997444881716993,0.01131111542024052,0.0,0.0,0.0,0.0,0.0,0.0,0.2592768061926117,0.0
1709637586.0825853,70,1709637586,80312729,,-1.340110175470117,-0.4898035226693649,0.0,0.0,0.0,-1.6758487075967905,-0.06222106135606037,-0.6980826140833093,0.0,0.7008500528370253,0.0,0.0,0.0,0.7007585890578356,0.011322385938162033,0.0,0.0,0.0,0.0,0.0,0.0,0.2592804476673566,0.0
1709637586.0926456,71,1709637586,92645645,,-1.3400017373529316,-0.49627208086934416,0.0,0.0,0.0,-1.6711633938361667,-0.059181065540822635,-0.7009576253199886,0.0,0.7034514844769216,0.0,0.0,0.0,0.7033598853751073,0.011351768932664782,0.0,0.0,0.0,0.0,0.0,0.0,0.2600194736608446,0.0
1709637586.1027625,72,1709637586,104010582,,-1.340592168778472,-0.5033762451585017,0.0,0.0,0.0,-1.6685291527801867,-0.05753848288938692,-0.7034660228421883,0.0,0.70581521824527,0.0,0.0,0.0,0.7057234967651186,0.01137841905679043,0.0,0.0,0.0,0.0,0.0,0.0,0.26075549648788315,0.0
1709637586.1128745,73,1709637586,112874508,,-1.3411252557433893,-0.5073756346451709,0.0,0.0,0.0,-1.6605924181846627,-0.05210537412461567,-0.7058298367483824,0.0,0.7077504704745269,0.0,0.0,0.0,0.7076586496881925,0.01140017448981455,0.0,0.0,0.0,0.0,0.0,0.0,0.26138613023001006,0.0
1709637586.122985,74,1709637586,122984886,,-1.342081682119458,-0.5142125196361428,0.0,0.0,0.0,-1.6548674880211807,-0.048285426392825286,-0.70915164827158,0.0,0.7107936005960067,0.0,0.0,0.0,0.7107016278262666,0.011434109205811092,0.0,0.0,0.0,0.0,0.0,0.0,0.2624575389930983,0.0
1709637586.1330955,75,1709637586,133095503,,-1.3425611860415791,-0.5213947874494923,0.0,0.0,0.0,-1.6522097406135101,-0.04656289028907118,-0.7115828684197743,0.0,0.7131046777161021,0.0,0.0,0.0,0.7130125913846681,0.011459751633697909,0.0,0.0,0.0,0.0,0.0,0.0,0.2632779356536155,0.0
1709637586.1431656,76,1709637586,143165588,,-1.3417640249445315,-0.5242716126550977,0.0,0.0,0.0,-1.6440416242984186,-0.04081966359007088,-0.713072817898854,0.0,0.7142402176871719,0.0,0.0,0.0,0.714148075885407,0.011472326311164831,0.0,0.0,0.0,0.0,0.0,0.0,0.2636772527530043,0.0
1709637586.1532621,77,1709637586,153262138,,-1.3408560620776617,-0.5302055768714502,0.0,0.0,0.0,-1.639036198547956,-0.037369422894780034,-0.7153539972642915,0.0,0.7163294040938769,0.0,0.0,0.0,0.7162371620774942,0.011495339432401509,0.0,0.0,0.0,0.0,0.0,0.0,0.2644350167570351,0.0
1709637586.1633408,78,1709637586,163340807,,-1.341223711930346,-0.5374272977248153,0.0,0.0,0.0,-1.6363668767783892,-0.03558343201785674,-0.7177130815515782,0.0,0.718594634035373,0.0,0.0,0.0,0.7185022852695744,0.011520161753674986,0.0,0.0,0.0,0.0,0.0,0.0,0.2652618617275068,0.0
1709637586.1734092,79,1709637586,175668478,,-1.3430491167886875,-0.5404785927751493,0.0,0.0,0.0,-1.6245531324228106,-0.027171528379317404,-0.7196993757313209,0.0,0.7202121099943551,0.0,0.0,0.0,0.720119685779392,0.011537830624119392,0.0,0.0,0.0,0.0,0.0,0.0,0.26585237617322516,0.0
1709637586.1834798,80,1709637586,183395863,,-1.343255801360565,-0.5461073831640496,0.0,0.0,0.0,-1.6224739881839876,-0.025745922640404005,-0.7214888501341025,0.0,0.7219480683542516,0.0,0.0,0.0,0.7218555643781187,0.01155671133077573,0.0,0.0,0.0,0.0,0.0,0.0,0.2664893157779854,0.0
