Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angle_0,angle_1,angle_2,angle_3,polynomial,first_timestamp,sync_timestamp,first_sweep
1709637589.6198108,1327,1709637589,619880733,,0.6259022924670274,0.617839929796129,0.6431328031786974,0.6351238462695177,11,1060166,699604,False
1709637589.6198108,1328,1709637589,623671807,,-0.7749127758856273,-0.7846274985189892,-0.7835213555212475,-0.7930894507284618,10,1268611,1171107,True
1709637589.6300278,1329,1709637589,639767049,,0.6330181333788927,0.625049230791002,0.6502619955309923,0.6423999044665392,10,1532209,1171107,False
1709637589.6501844,1330,1709637589,651870404,,-0.7668239487524486,-0.7764586819525219,-0.7749661816473461,-0.7846807850714184,10,1740747,1642611,True
1709637589.6501844,1331,1709637589,655645781,,0.6399608824023302,0.6321788999804552,0.657324907518297,0.6496092054614122,10,2004253,1642614,False
1709637589.660267,1332,1709637589,664296246,,-0.758361996542976,-0.7681965245123363,-0.766357602011726,-0.7762320650930858,11,2212887,2114116,True
1709637589.6805408,1333,1709637589,684214209,,0.6466242048510606,0.6389747831591661,0.6641207906970079,0.6565252516039903,11,2476268,2114117,False
1709637589.6805408,1334,1709637589,684214967,,-0.7498200549002147,-0.7598012102957226,-0.7576157463903881,-0.7674903286810375,10,2685048,2585620,True
1709637589.6906831,1335,1709637589,695640601,,0.6531935903796251,0.6456514570483263,0.6707974645861681,0.6633216116198595,10,2948271,2585623,False
1709637589.710858,1336,1709637589,711732293,,-0.7412647618170238,-0.7512459172125316,-0.7486473931189037,-0.7587618245001293,11,3157204,3057125,True
1709637589.710858,1337,1709637589,715623868,,0.6596966955431993,0.652381059862047,0.677433607316881,0.6701308462390001,11,3420277,3057124,False
1709637589.7209358,1338,1709637589,723660749,,-0.7325496090765453,-0.7425840510244823,-0.7397056235189892,-0.7496734274740673,10,3629386,3528624,True
1709637589.7411273,1339,1709637589,743847840,,0.6661463949450548,0.6589103910693224,0.6839767668017442,0.6768208715685899,10,3892272,3528625,False
1709637589.7411273,1340,1709637589,743848439,,-0.7237945212240673,-0.7339622391577221,-0.7306306971426464,-0.740931691062019,10,4101549,4000123,True
1709637589.7512116,1341,1709637589,759003735,,0.6722766134509142,0.6651869985827501,0.6901866171130235,0.6832171652087267,10,4364243,4000126,False
1709637589.7714434,1342,1709637589,776251796,,-0.7148928059454418,-0.7252603186483837,-0.7214224947805858,-0.7318434132452465,11,4573721,4471620,True
1709637589.7714434,1343,1709637589,776252394,,0.6783663007983263,0.6713834974535997,0.6963964674243028,0.6895467016467149,11,4836203,4471622,False
1709637589.7815602,1344,1709637589,783691391,,-0.7058311118002392,-0.7162919653768993,-0.7123741520758129,-0.7226218594427563,11,5045909,4943118,True
1709637589.8018162,1345,1709637589,804402152,,0.6841765615710313,0.677433607316881,0.702406522966295,0.695690271593004,11,5308154,4943116,False
1709637589.8018162,1346,1709637589,804402690,,-0.6969559801931835,-0.7073503149862743,-0.7029927386160351,-0.7135601652975536,10,5518096,5414618,True
1709637589.8118994,1347,1709637589,811703805,,0.6901065084704454,0.6834169599780138,0.7083231184252794,0.7017933103808458,10,5780101,5414618,False
1709637589.8321218,1348,1709637589,835801656,,-0.6880143298025585,-0.6984885348196483,-0.693637908827827,-0.704232038390205,11,5990297,5886122,True
1709637589.8321218,1349,1709637589,835802412,,0.6959301206835802,0.6894136640795763,0.7143198225268419,0.7078834745654161,11,6252060,5886122,False
1709637589.8321218,1350,1709637589,839674661,,-0.6787394894476391,-0.6893602026815868,-0.6841763867254711,-0.6948638571615673,10,6462501,6357625,True
1709637589.862432,1351,1709637589,868624200,,0.7015134069689806,0.6951838705309923,0.7200366232165392,0.7137600157031114,10,6723997,6357627,False
1709637589.862432,1352,1709637589,868628274,,-0.6694778813238598,-0.6802052868719555,-0.6746084107275463,-0.6854290379400707,10,6934715,6829132,True
1709637589.862432,1353,1709637589,871785399,,0.7071505758532579,0.7009273741015489,0.7256737921008165,0.7195435735949571,10,7195938,6829135,False
1709637589.9230418,1354,1709637589,924124416,,-0.6507149351950146,-0.6616155518408275,-0.6551525009985424,-0.6661464585180736,11,7879172,7772147,True
1709637589.9230418,1355,1709637589,924128237,,0.7177177641161974,0.7117611143359239,0.7364674780139024,0.7305642339953478,11,8139757,7772145,False
1709637589.9230418,1356,1709637589,924131497,,-0.6414801491613842,-0.652407349478767,-0.6455578221197582,-0.656591714751289,10,8351388,8243649,True
1709637589.933137,1357,1709637589,932836700,,0.7227684232958849,0.7170249197253282,0.7416115972765978,0.7359210226306017,10,8611651,8243648,False
1709637589.943227,1358,1709637589,947357393,,-0.6318987025137401,-0.64297264946656,-0.6358831538076855,-0.646863759886787,10,8823609,8715147,True
