vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega
1.985025,0.009566,-3.373663,-0.242233,0.229931,-0.003454,-0.000149,0.004416
1.966766,0.007179,-3.429721,-0.248435,0.230165,-0.000038,0.000464,0.014990
1.951877,0.005600,-3.476233,-0.255463,0.230505,0.000033,0.000402,0.017737
1.936780,0.003801,-3.524333,-0.261430,0.231084,-0.000232,0.000137,0.006880
1.921344,0.001776,-3.584263,-0.267078,0.231423,-0.000162,0.000139,0.006720
1.905892,0.000099,-3.641655,-0.272230,0.231652,-0.000223,0.000127,0.006222
1.890330,-0.001408,-3.695178,-0.275678,0.231931,0.000074,0.000078,0.003157
1.875196,-0.002821,-3.744111,-0.280025,0.231113,-0.000444,0.000084,0.007487
1.859409,-0.004272,-3.784022,-0.280632,0.232054,-0.000326,0.000060,0.003105
1.844196,-0.005731,-3.817950,-0.280885,0.233504,-0.000430,0.000029,0.002642
1.829425,-0.007250,-3.842739,-0.279650,0.235159,-0.000449,-0.000038,0.000277
1.815316,-0.008865,-3.859397,-0.277376,0.237285,-0.000685,-0.000160,-0.003049
1.801806,-0.010592,-3.868476,-0.275536,0.239873,-0.001242,-0.000389,-0.008399
1.788619,-0.012594,-3.874906,-0.272708,0.242982,-0.001832,-0.000700,-0.016216
1.775840,-0.014751,-3.879363,-0.269078,0.247258,-0.002460,-0.001136,-0.028371
1.763688,-0.016990,-3.884073,-0.264104,0.251807,-0.003853,-0.001752,-0.041831
1.751547,-0.019193,-3.885213,-0.257638,0.256979,-0.004835,-0.002572,-0.065572
1.740040,-0.021372,-3.886940,-0.250624,0.263245,-0.006198,-0.003611,-0.093329
1.728960,-0.023504,-3.888556,-0.242593,0.270337,-0.007792,-0.004900,-0.128141
1.718251,-0.025545,-3.889713,-0.233553,0.278281,-0.009564,-0.006484,-0.171011
1.707914,-0.027493,-3.890116,-0.223749,0.286854,-0.011450,-0.008353,-0.221924
1.697953,-0.029347,-3.889598,-0.212219,0.295713,-0.013674,-0.010831,-0.290843
1.688192,-0.031220,-3.891678,-0.200001,0.304533,-0.015333,-0.013349,-0.360787
1.679218,-0.032707,-3.885794,-0.186147,0.313436,-0.007687,-0.004220,-0.163452
1.680361,-0.021843,-3.591106,-0.175996,0.321162,-0.001669,-0.000723,-0.023381
1.687933,-0.015597,-3.199048,-0.169149,0.327821,-0.001938,-0.001614,-0.041738
1.695480,-0.017695,-2.939040,-0.161335,0.334107,-0.004134,-0.000696,-0.070196
1.701864,-0.019218,-2.774207,-0.155391,0.339880,0.000209,-0.000923,0.008880
1.713490,-0.020585,-2.569152,-0.149953,0.343961,-0.001094,-0.000346,-0.011644
1.724312,-0.021340,-2.449097,-0.142739,0.347499,-0.001301,-0.000511,-0.018610
1.735589,-0.021116,-2.349078,-0.135516,0.349976,-0.003541,-0.000661,-0.036678
1.745156,-0.020214,-2.268657,-0.126071,0.352568,-0.001624,-0.002098,-0.060861
1.757167,-0.019631,-2.187375,-0.115358,0.353880,0.000119,-0.004482,-0.127116
1.771433,-0.019702,-2.137944,-0.100318,0.353824,-0.003856,-0.005433,-0.187901
1.782413,-0.016981,-2.065268,-0.087541,0.353451,-0.002877,-0.002454,-0.097215
1.794567,-0.010217,-1.839161,-0.073926,0.352388,-0.002119,-0.006228,-0.190540
1.807327,-0.010295,-1.704206,-0.060750,0.350904,-0.001870,-0.007888,-0.254458
1.820406,-0.009753,-1.598281,-0.045961,0.348270,0.000023,-0.013095,-0.395080
1.835184,-0.011742,-1.569683,-0.030194,0.345734,-0.001217,-0.004223,-0.207470
1.848518,0.000673,-1.245683,-0.013971,0.343146,-0.000625,-0.000889,-0.044548
1.861801,0.009221,-0.770515,0.000247,0.340623,-0.000341,-0.003832,-0.116270
1.874864,0.007792,-0.476387,0.014355,0.338615,0.000092,-0.007593,-0.232081
1.887922,0.004125,-0.334714,0.032068,0.338378,0.000417,-0.012221,-0.375056
1.900768,0.001397,-0.272343,0.049575,0.339967,0.001162,-0.016415,-0.501766
1.913735,0.000061,-0.237968,0.071444,0.342397,0.000186,-0.006009,-0.285096
1.924763,0.014905,0.153839,0.086584,0.346871,-0.000345,-0.000764,-0.037395
1.935208,0.024686,0.746218,0.098812,0.352986,-0.002397,-0.001927,-0.144416
1.944175,0.023181,1.061326,0.112941,0.361344,0.001502,-0.002435,-0.043526
1.957037,0.021558,1.422974,0.122727,0.369471,-0.000531,-0.000514,-0.026124
1.968100,0.020355,1.700462,0.132329,0.378447,-0.000654,-0.000499,-0.026135
1.979269,0.018058,1.916376,0.140421,0.387791,-0.000678,-0.000471,-0.024012
1.990625,0.015494,2.089386,0.147116,0.397284,-0.000973,-0.001144,-0.037498
2.001947,0.012130,2.214598,0.152210,0.407156,-0.001113,-0.000453,-0.027559
2.013439,0.009944,2.324613,0.155455,0.417156,-0.003501,0.000451,-0.026540
2.023050,0.008193,2.409443,0.158440,0.427156,-0.001381,-0.000314,-0.014540
2.035327,0.005298,2.489443,0.160205,0.436537,0.001004,-0.000785,0.000106
2.050479,0.001778,2.561478,0.159229,0.444523,-0.001349,0.000055,-0.002476
2.063745,-0.001338,2.596625,0.158078,0.451581,-0.000974,0.000133,0.001991
2.077758,-0.004358,2.615432,0.153134,0.457612,-0.001092,0.000293,0.010084
2.092309,-0.007719,2.607173,0.148268,0.463155,-0.000982,0.000276,0.009818
2.107471,-0.010938,2.573029,0.142623,0.467791,-0.001520,0.001121,0.032106
2.122589,-0.012895,2.540319,0.137755,0.470790,-0.002269,0.002029,0.060606
2.137296,-0.014025,2.520752,0.132108,0.471628,-0.001475,0.000715,0.034658
2.152996,-0.017351,2.450968,0.127949,0.470707,-0.000714,0.000255,0.009892
2.169250,-0.019636,2.355702,0.124680,0.467566,-0.000391,0.000214,0.008337
2.185374,-0.020250,2.274431,0.120226,0.459903,-0.000160,0.000916,0.027892
